Time,Open,High,Low,Close,Volume
1643670000.0,38412.45,38510.28,38336.04,38466.9,574.60408
1643666400.0,38410.09,38737.99,38398.58,38412.46,927.8468
1643662800.0,38450.62,38531.53,38335,38410.09,923.75238
1643659200.0,38415.79,38563.37,38236.69,38450.62,1639.59864
1643655600.0,38468.29,38744,38383.91,38415.79,1944.84957
1643652000.0,38473.03,38600,38342.89,38468.29,1319.70238
1643648400.0,38363.83,38543.95,38272.2,38473.03,1000.6709
1643634000.0,37084.17,37283,36724,37246.38,1272.38135
1643630400.0,37265.15,37421.3,36828.52,37081.15,1665.8575
1643626800.0,37300.31,37399.93,36880,37265.16,1460.26909
1643623200.0,37212.53,37350,37156.8,37300.31,812.93941
1643619600.0,37144.71,37256.14,37085.23,37212.53,714.57733
1643616000.0,37162.3,37198.93,37100.71,37145.63,447.59767
1643601600.0,37025.68,37026.29,36811.48,36907.96,713.45962
1643598000.0,36994.69,37058.82,36925.27,37025.68,961.28704
1643594400.0,36823.19,37004.55,36632.61,36993.58,1846.10363
1643590800.0,36829.3,36960.67,36760.87,36821.05,1423.26744
1643587200.0,37657.57,37704.68,36828.32,36829.3,2222.66588
1643576400.0,37684.45,37718.99,37492.25,37680.46,515.14888
1643572800.0,37512.37,37740,37351.63,37684.45,1037.79473
1643569200.0,37820.96,37827.14,37442.52,37512.37,1718.81204
1643565600.0,37991,38020.39,37813.79,37820.95,491.34455
1643562000.0,37832.45,37994.87,37751.72,37991,554.76321
1643558400.0,37996.96,38021.81,37800,37832.44,431.25498
1643547600.0,37937.21,37998.99,37823.08,37969.75,367.12456
1643544000.0,38110.03,38153.82,37849.53,37938.47,719.04878
1643540400.0,38184.74,38259.14,37958.13,38110.02,803.22993
1643536800.0,37889.49,38189.19,37829,38184.74,1234.86371
1643533200.0,37999.99,38073.45,37795,37889.48,1518.69315
1643529600.0,38244.98,38359.26,37966.15,38000,1156.08695
1643526000.0,38098.51,38290,38098.51,38244.98,585.29997
1643522400.0,38139.38,38152.79,38038.95,38098.51,815.2619
1643518800.0,38100.02,38300,38087.02,38139.39,781.35435
1643515200.0,37917.13,38183.86,37901.17,38099.34,497.0742
1643511600.0,37951.79,38044.24,37881.55,37917.13,649.81836
1643508000.0,38029.07,38029.08,37916.88,37951.8,289.71244
1643500800.0,38166.83,38281.24,37805,37843.14,742.37634
1643497200.0,38140,38185.8,37906.26,38166.84,795.57866
1643493600.0,38358.32,38411.72,38045.27,38140,1008.45341
1643490000.0,38340.03,38720.74,38279.99,38358.32,1378.11408
1643486400.0,37853,38600,37816.21,38340.03,2148.00507
1643482800.0,37806.24,37950,37781.49,37853,671.54974
1643479200.0,37646.31,37904.19,37556.56,37806.23,772.06693
1643475600.0,37538.19,37720.77,37532.15,37646.31,784.47184
1643472000.0,37567.98,37603.57,37317.37,37538.19,1102.74218
1643468400.0,37620.04,37735.67,37268.44,37566.82,1881.67209
1643464800.0,38161.69,38198.82,37507.72,37620.04,1985.59542
1643461200.0,37847.57,38186.11,37733.04,38161.69,1782.61817
1643457600.0,37736.06,37916.99,37623.01,37847.57,755.03752
1643454000.0,37756.2,37788.24,37662.44,37736.07,426.51029
1643450400.0,37703.25,37809.83,37597.11,37756.19,679.36743
1643446800.0,37785.82,37786.85,37544.94,37703.24,709.55783
1643443200.0,37836.98,37923,37750,37785.82,1004.4366
1643439600.0,37739.78,37925,37656.57,37836.99,967.94082
1643436000.0,37653.71,37835,37589.44,37739.78,1012.4948
1643432400.0,37814.47,37834.99,37613.01,37653.72,728.34049
1643428800.0,37737.72,37916.08,37726.32,37814.46,719.2119
1643425200.0,37530.74,37750,37490.1,37737.73,837.02319
1643421600.0,37535.76,37635.93,37448.58,37530.75,904.78617
1643418000.0,37788.27,37899.99,37473.07,37535.77,1181.30907
1643414400.0,37716.57,37983.41,37647.01,37788.27,1191.54203
1643410800.0,37655.01,37850,37642.05,37716.56,665.72042
1643407200.0,37788.87,37943.55,37653.36,37655.01,951.05179
1643403600.0,37758,38000,37660.88,37788.87,1701.81819
1643400000.0,37222.85,37858.19,37134.65,37758.01,2349.94034
1643396400.0,37050.56,37238.11,36765.05,37222.86,1133.15411
1643392800.0,36843.59,37137.09,36785.8,37050.57,1217.1557
1643389200.0,37103.63,37193.42,36774.43,36843.6,1322.31184
1643385600.0,37188.99,37376.7,37000.01,37103.62,1666.64111
1643382000.0,36759.65,37300,36682.24,37188.98,2727.21213
1643378400.0,36906.58,37096.08,36600,36759.65,2740.25615
1643374800.0,36278.6,36989.92,36213.24,36910.46,2635.32344
1643371200.0,36447.67,36594.59,36155.01,36278.6,1722.28784
1643367600.0,36615.35,36650,36287.03,36448.28,1593.88827
1643364000.0,36486.1,36678.19,36325.33,36615.35,1543.09172
1643360400.0,36658.46,36853.09,36401.44,36486.09,1662.1471
1643356800.0,36799.82,36882.22,36429.62,36658.47,1829.32817
1643353200.0,36907.14,37099.09,36777.77,36799.82,1930.9875
1643349600.0,37206.17,37500,36907.02,36907.14,1805.94731
1643346000.0,37223.19,37328.87,37091.2,37205.6,1226.26364
1643342400.0,37351.83,37449.98,36986.43,37223.18,1593.21951
1643338800.0,36936.33,37450,36901.45,37351.83,2146.26416
1643335200.0,36880.79,36973.56,36500,36935.62,1938.13929
1643331600.0,37157.26,37222.73,36720.01,36880.8,1828.36966
1643328000.0,37160.11,37467.98,37046.15,37157.27,2204.16866
1643324400.0,36704.68,37234.47,36693.22,37160.1,2262.75731
1643320800.0,36091.29,37000,36004.75,36705.27,1831.28143
1643313600.0,36209.19,36435.7,35873.22,35915.41,1336.17933
1643310000.0,36215.49,36327.72,35883.82,36209.2,1971.02943
1643306400.0,36282.02,36345.76,36022.07,36215.49,1606.52202
1643302800.0,36528.85,36600,36161.41,36282.03,1493.88279
1643299200.0,36639.43,36787.77,36327.13,36528.86,1843.62877
1643295600.0,36882.02,37030,36510,36639.43,2139.96762
1643292000.0,36830.88,37199,36679.99,36882.03,2826.17783
1643288400.0,36668.23,36849.37,36543.16,36830.89,1852.85289
1643284800.0,36679.98,36784.27,36423.46,36668.23,1846.0629
1643281200.0,36318.22,36781.79,36290.01,36679.98,1707.19659
1643277600.0,36525.84,36649.61,36290.31,36318.22,1385.52094
1643274000.0,36449.99,36611.21,36333,36525.85,2294.32365
1643270400.0,36177.17,36500,35815.8,36450,2112.75603
1643266800.0,36139.09,36303.8,35915,36173.87,1860.34114
1643263200.0,35977.88,36175.64,35818.77,36139.09,1872.14471
1643259600.0,35930.8,36091,35820.44,35973.39,2262.56977
1643256000.0,35745.7,36000,35692.61,35930.8,2846.15453
1643252400.0,36008.69,36243.32,35507.01,35745.7,2650.83156
1643248800.0,35882.21,36041.84,35681.77,36008.69,2675.43678
1643245200.0,37004.43,37005.84,35833.56,35882.21,3376.02847
1643241600.0,36807.24,37080,36655.79,37004.43,2069.18126
1643238000.0,36509.41,36886.68,36439.02,36809.34,1685.67053
1643234400.0,36327.35,36583.8,36234.63,36509.4,2050.62594
1643230800.0,37015.05,37181.85,36322.54,36323.08,3204.91046
1643227200.0,37576.67,37580.03,36668.23,37015.05,6179.81956
1643223600.0,37961.15,38919.98,37496.56,37579.9,10140.0921
1643220000.0,38040.9,38300,37565,37961.15,3544.88678
1643216400.0,38264.85,38380.01,38007.03,38040.9,1917.78472
1643212800.0,37985.01,38295.65,37911.66,38264.86,1682.49321
1643209200.0,38223.51,38369.03,37819.97,37985,3486.56576
1643205600.0,38193.48,38499,38055.76,38223.52,3824.86357
1643202000.0,37749.68,38275,37475.01,38193.48,3545.6505
1643198400.0,38072.77,38090.61,37742.76,37749.2,1935.96958
1643194800.0,37940.46,38248.92,37778.18,38072.77,2974.73728
1643191200.0,37650.01,38173.2,37550,37940.46,2096.40733
1643187600.0,37591.42,37975.57,37563.47,37650,2418.87524
1643184000.0,37338.6,37700.17,37324.58,37591.42,1817.91907
1643180400.0,37288.56,37400,37109.37,37338.59,1597.98349
1643176800.0,37600.01,37798.46,37202.47,37288.56,2250.39767
1643173200.0,37789.73,37974.43,37590.01,37600,1884.23041
1643169600.0,37389.77,37876.8,37248.87,37789.73,2641.98665
1643166000.0,36812.9,37522.24,36790.81,37389.76,3049.74993
1643162400.0,36851.85,37047.83,36784.7,36812.89,1034.88206
1643158800.0,36638.55,36916.23,36550.2,36851.85,1621.53947
1643155200.0,36958.32,37000,36560.16,36638.5,1135.7014
1643151600.0,36791.16,37042.53,36707.34,36958.32,894.83071
1643148000.0,36556.04,36791.16,36432.73,36791.16,721.19563
1643144400.0,36859.8,36905.87,36421.56,36556.04,1507.44273
1643140800.0,37067.13,37103.15,36616.35,36859.79,2159.56834
1643137200.0,37320.08,37421,36920.01,37067.13,1939.39675
1643133600.0,37273.32,37545.14,37120,37320.08,2103.98592
